id,latitude,longitude,name,Location,imgURL,Asset,category,AssetType,Description,Cost Details,Performance Notes (Benefits),Source
,37.23669159,-76.50601384,,"Yorktown, VA",,Coastal highway (0.3 mi),shoreline,Beach + Breakwater,"onstruction of pocket beaches using segmented offshore breakwaters and beach nourishment, with native vegetation","$260,000 for 1,350 ft in 1994, $193/linear ft, post-Hurricane Isabel: 3,500 yd³ sand","Designed for a 50-year storm but performed above the 100-year event during Hurricane Isabel (2003); beach required replenishment of 3,500 yd³ of sand but no damage occurred to breakwaters or roadway; provides recreational beach and intertidal habitat",PublicBeachYorktown1996.pdf https://scholarworks.wm.edu/items/2392cd9b-86bb-4ec8-af32-9328d26a2110   https://core.ac.uk/download/pdf/235399606.pd
,29.77283496,-93.45622748,,"Holly Beach, LA",,Louisiana 82,shoreline,Beach + Breakwater,"85 segmented offshore breakwaters constructed over 8.3 miles to reduce wave energy, trap sediment, and allow for beach rebuilding through natural accretion and periodic nourishmen","1991-1995 breakwaters, 2003: $24M for 5.3 mi nourishment, pre-1991: $600,000/yr repairs",Reduced repair costs compared to previous revetments,https://www.lacoast.gov/reports/fsr/Holly%20Beach%20to%20Constance%20FR.pdf  https://www.lacoast.gov/reports/project/4106496~1.pdf
,30.41331355,-87.20074413,,"Pensacola, FL",,"Bayfront Pkwy, US 98",shoreline,Marsh + Breakwaters,"Installation of oyster-shell and limestone breakwater sill, followed by creation of salt marsh islands planted with native marsh vegetation (Spartina alterniflora, seagrasses) to dampen wave impact and form habitat","Initial $150,000 grant, total >$2.5M from various agencies","Enhances aesthetics, protects 0.5 mi embankment, habitat creation",https://nrcsolutions.org/wp-content/uploads/2017/06/NRC_CaseStudies_Pensacola_FL.pdf   https://emeraldoe.com/_Working%20content/11-Phase%20II%20conceptual%20designs%20report.pdf
,35.24853958,-75.53859077,,"Buxton, NC",,North Carolina 12,shoreline,Dune,"Constructed vegetated sand dune ridge and relocated ~3,500 ft of roadway further inland post‑Hurricanes Bonnie and Dennis","$450,000 for 3,500 ft, $129/linear ft","Protects from hurricane overwash, part of post-Hurricanes Bonnie/Dennis repairs",https://www.ncdot.gov/projects/nc-12-south/Documents/R-4070B_feasibility_study.pdf  https://saw-reg.usace.army.mil/Proj/NC12/AppendixD-EFH.pdf
,37.23865866,-76.50970802,,"Gloucester Point, VA",,Greate Road,shoreline,,"Beach nourishment using imported sand placed between shore-perpendicular breakwaters to restore and stabilize a narrow beach face, reduce shoreline erosion, and maintain a public access zone",Not specified,"Stabilized by end structures, protects from storms and shoreline recession",https://scholarworks.wm.edu/server/api/core/bitstreams/216c50c5-cc91-49ca-bd49-a465d414175e/content   https://core.ac.uk/download/pdf/235399784.pdf
,42.16277539,-80.08052321,,"Presque Isle State Park, PA",,Peninsula Drive,shoreline,Beach + Breakwaters,Beach nourishment with breakwaters,"< $30M construction, 50-yr cost $150M, <$95/linear ft/yr","Protects 6 mi shoreline, reduces erosion","TECHNICAL REPORT HL-83-15 DESIGN FOR PREVENTION OF
BEACH EROSION AT PRESQUE ISLE BEACHES, ERIE, PENNSYLVANIA   https://www.nysga-online.org/wp-content/uploads/2019/06/NYSGA-1990-SatF-Beach-Processes-And-Coastal-Morphology-Along-A-Recurved-Sand-Spit-Presque-Isle-Pennsylvania.pdf"
,40.32498636,-73.97428301,,"Great Egg Harbor Bay, NJ",,New Jersey 52,shoreline,Dune + Marsh,Constructed 900 ft sand dune and placed dredged sediment to stabilize marsh edge; vegetation colonized naturally nearby,Not specified,"Marsh erosion halted, site remained stable, and natural vegetation growth observed; considered highly successful",https://www.westerndredging.org/phocadownload/2019_Chicago/Proceedings/5A-1.pdf
,26.4643098,-80.07523359,,"Delray Beach, FL",,Highway A1A ,shoreline,Beach,"Periodic beach nourishment (~365k–800k cy) from 1973 onward, about 7 events over ~4 km shoreline","$980,000 per year and has a high benefit-cost ratio of 10.4",Average beach width >100 yards over 50 years; consistently protects highway from erosion; Benefit‑cost ratio ≈ 10.4,https://icce-ojs-tamu.tdl.org/icce/article/view/5575/5249  http://pure.tudelft.nl/ws/portalfiles/portal/4444575/Benedet_Thesis_final.pdf
,44.67630745,-124.0770414,,"Cape Lookout State Park, OR  ",,Campground near shoreline,shoreline,Dune + Marsh,"Constructed a 300 m cobble berm (dynamic revetment) supplemented by an artificial foredune using sand-filled geotextile bags, overlaid with native dune grass, to mimic natural cobble beach and dune morphology","$125,000 (built in 2000); much cheaper than ~$500,000 estimated for rock revetment",Protected campground through winter storms and El Niño events,https://pubs.usgs.gov/sir/2010/5254/pdf/sir20105254_chap12.pdf
,47.5388749,-122.4925858,,"Blake Island State Park, WA",,Park shoreline and boat basin,shoreline,Beach,"Regraded a previously armored shoreline, installed a buried sheet pile to retain material, placed 800 cubic yards of gravel for beach nourishment, added large woody debris for stability and habitat, and revegetated the upper beach area","$138,000 (planned, 2000)",Monitoring scheduled annually for 5 years; first evaluation pending.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,,,,"Blomquist Residence, WA",,"Beach with small stream, erosion from adjacent properties",shoreline,Beach,"Placed large woody debris near the high water line, added limited gravel nourishment, and planted native vegetation on the backshore to stabilize the shoreline and trap sediment","$15,500",Recently completed; no formal monitoring; periodic renourishment expected.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,47.58200879,-122.4058353,,"Cormorant Cove, Alki Beach, WA",,Urban shoreline park,shoreline,Beach,"Removed a concrete bulkhead, created a gravel pocket beach, and built a vegetated slope to restore natural shoreline function and habitat.","$250,000 (projected)",Not yet constructed; strong community support; designed for ecological and public access improvement.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,49.00012444,-123.0315672,,"Driftwood Beach, Blakely Island, WA",,Historic berm beach,shoreline,Beach,"Nourished the beach with gravel, added logs along the upper beach to reduce wave energy, and planted native vegetation for stabilization.","$90,000 + volunteer labor",Positive initial performance; monitoring planned annually; designed to restore natural sediment dynamics.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,,,,"Floral Point, SUBASE Bangor, WA",,Former lagoon / Superfund shoreline,shoreline,Beach,"Restored shoreline using gravel nourishment, added drift logs for sediment retention, and revegetated the upland slope for stabilization and habitat.",Not specified,Surf smelt spawning observed; 5-year monitoring (1998â€“2002) planned.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,47.85952026,-122.6061247,,"Salsbury Point Park, WA",,Historic spit park with boat ramp,shoreline,Beach,"Regraded the shoreline, added gravel nourishment, and placed beach features like drift logs to restore natural spit function and improve resilience","$389,000 (includes park & ramp)",Handled storm events; some accretion observed; monthly monitoring over 2 years completed.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,48.57611363,-122.5173043,,"Samish Beach, WA",,Modified shoreline across 16 parcels,shoreline,Berm,"Built a gravel berm, installed drift sills to retain sediment, and added beach nourishment to stabilize the shoreline along multiple properties.","$250,000",Survived first winter successfully; 5-year monitoring scheduled.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,47.56759763,-122.4096999,,"Weather Watch Park, WA",,Urban lot converted to park,shoreline,Beach,"Removed hard armoring, added natural debris and light rock below grade, and used a setback design to restore a self-maintaining beach profile","$87,000 + in-kind donations",Stable for over 8 years; considered a model for low-intervention shoreline restoration.,https://www.ellisportengineering.com/images/WDOE_alt_shoreline_protection.pdf
,39.40354065,-74.37968282,,"Brigantine Island, NJ",,Coastal community,shoreline,Dunes,Combined federal beach nourishment (2004) with natural foredunes to buffer storm surge; dunes absorbed wave energy while revetment overtopping led to minor roadway flooding.,Not specified,Dunes buffered inland structures; overtopping at revetment caused some roadway flooding,https://www.academia.edu/download/84469989/CoastalResearchCenterArticle.pdf
,,,,"Cape May County, NJ",,Multiple coastal towns,shoreline,Beach,Ongoing federal beach nourishment (since 1989) provided wide beaches and dunes; effective at reducing wave and flood impact during Hurricane Sandy.,Not specified,Effective wave/flood protection; less impact than northern locations,https://www.academia.edu/download/84469989/CoastalResearchCenterArticle.pdf
,39.62143319,-74.19734462,,"Surf City, Harvey Cedars, Brant Beach, NJ",,Residential areas on LBI,shoreline,Dunes,Engineered 22-ft dunes and widened beaches under federal projects; waves broke offshore and natural sandbar recovery occurred post-storm.,Not specified,Low dune failure (3.85%); waves broke offshore; rapid natural sandbar recovery,https://www.academia.edu/download/84469989/CoastalResearchCenterArticle.pdf
,39.72425827,-74.13374766,,"Loveladies, LBI, NJ",,Residential access areas,shoreline,Dunes,"Relied on natural dune system without federal intervention; stormwater funneled through low public access paths, causing localized overwash.",Not specified,"Stormwater funneled through paths, causing overwash up to 2 lots wide",https://www.academia.edu/download/84469989/CoastalResearchCenterArticle.pdf
,39.40222953,-74.37915891,,"Brigantine Island, NJ",,Coastal community,shoreline,Dunes,Combined federal beach nourishment (2004) with natural foredunes to buffer storm surge; dunes absorbed wave energy while revetment overtopping led to minor roadway flooding.,Not specified,Dunes buffered inland structures; overtopping at revetment caused some roadway flooding,https://www.academia.edu/download/84469989/CoastalResearchCenterArticle.pdf
,47.24360573,-122.3373323,,"WSDOT SR 167 Riparian Restoration, WA",,New SR 167 highway and Hylebos Creek watershed,shoreline,Marsh,"Riparian restoration: realigned streams, created wetlands, and reconnected floodplain to restore natural hydrology and support flood storage",Not specified,Lowers peak flooding by ~2 ft; reduces flood risk to I-5; supports climate adaptation,https://international.fhwa.dot.gov/pubs/pl23014/pl23014.pdf
,,,,"NCDOT NC24 Living Shoreline, NC",,Causeway along NC24,shoreline,Marsh,"First NCDOT living shoreline: restored ~2 acres of tidal marsh, installed oyster reef sills tied to marsh edge adjacent to roadway",Not specified,Avoided need for stormwater infrastructure; improves wave attenuation and marsh habitat; informed permitting streamlining,https://international.fhwa.dot.gov/pubs/pl23014/pl23014.pdf
,,,,"NCDOT Neuse River Basin Study, NC",,Neuse River Basin (flood-prone region),shoreline,Marsh,"Basin-wide study of NBS: modeled reforestation, water farming, and flood‑storage wetlands over 112,737 ac for flood risk reduction",Not specified,Demonstrated substantial reduction in long‑term repair costs and flood damage across modeled acreage,https://international.fhwa.dot.gov/pubs/pl23014/pl23014.pdf
,29.77724778,-93.22886684,,"Cameron Parish, LA",,Coastal highway,shoreline,Dune & beach ,Rebuilt 8.7 miles of dunes using 1.98M cubic yards of sediment to prevent shoreline erosion and protect road and marsh,Not specified,"Reduces erosion, protects marsh and critical roadway from breaching",https://cims.coastal.louisiana.gov/outreach/projects/ProjectView?projID=CS-0033
,29.26172868,-89.96215448,,"Caminada Headland, Lafourche Parish, LA",,"Hwy 1, Port Fourchon",shoreline,Dune & beach ,Used 3.3M cubic yards of sediment from Ship Shoal to restore 6 miles of beach and dune,Not specified,"Buffers storm surge, protects Hwy 1 and Port Fourchon, restores habitat",https://coastal.la.gov/project/caminada-headland-beach-and-dune-restoration/
